ingredient_key,ndb_no,default_long_desc,default_display_name,common_unit,common_unit_grams,notes
raisins_golden,9297,"Raisins, golden seedless",golden raisins,cup,145.0,Golden raisins; ~145g per cup
cranberries_dried_sweetened,9079,"Cranberries, dried, sweetened",dried cranberries,cup,120.0,Sweetened dried cranberries; ~120g per cup
dates_medjool,9421,"Dates, medjool",medjool dates,cup,150.0,"Pitted medjool dates, chopped; ~150g per cup"
apricots_dried,9032,"Apricots, dried, sulfured, uncooked",dried apricots,cup,130.0,"Dried apricots, chopped; ~130g per cup"
ginger_ground,2021,"Spices, ginger, ground",ground ginger,teaspoon,1.8,Ground ginger; ~1.8g per tsp
peach_yellow_raw,9236,"Peaches, yellow, raw",peaches,cup,154.0,Fresh peeled peach slices; ~154g per cup sliced
corn_syrup_light,19350,"Syrups, corn, light",light corn syrup,cup,328.0,
pecans_raw,12142,"Nuts, pecans",pecan halves,cup,99.0,
pumpkin_canned,11424,"Pumpkin, canned, without salt",canned pumpkin puree,cup,245.0,
milk_evaporated,1096,"Milk, canned, evaporated, with added vitamin D",evaporated milk,cup,252.0,
pumpkin_pie_spice,2035,"Spices, pumpkin pie spice",pumpkin pie spice,teaspoon,1.7,
baking_powder,18369,"Leavening agents, baking powder, double-acting, sodium aluminum sulfate",baking powder,teaspoon,4.0,
chocolate_semisweet,19080,"Candies, semisweet chocolate",semisweet chocolate,ounce,28.35,
chocolate_sandwich_cookies,18166,"Cookies, chocolate sandwich, with creme filling, regular",chocolate sandwich cookies,cookie,11.0,
cocoa_powder_unsweetened,19165,"Cocoa, dry powder, unsweetened",unsweetened cocoa powder,tablespoon,5.0,
graham_crackers,18173,"Cookies, graham crackers, plain or honey",graham crackers,cracker,14.0,
coconut_milk_canned,12118,"Nuts, coconut milk, canned",canned coconut milk,cup,226.0,
coconut_flaked_sweetened,12109,"Nuts, coconut meat, dried, sweetened, flaked",sweetened flaked coconut,cup,74.0,
