recipe_id,recipe_name,category,historical_recipe_row,historical_ingredient_rows,historical_instruction_rows,current_generated_has_ingredients,current_generated_has_instructions,restoreability
ASIAN_005,Korean BBQ Beef,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
ASIAN_006,Korean BBQ Beef + Rice,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
ASIAN_007,Curry Chicken,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
ASIAN_008,Curry Chicken + Rice,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
ASIAN_009,Thai Green Curry,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
ASIAN_010,Thai Green Curry + Rice,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
SOUP_001,Chicken Noodle Soup,Soups & Stews,no,0,0,no,no,not_in_yesterday_commit
SOUP_002,Tomato Soup,Soups & Stews,no,0,0,no,no,not_in_yesterday_commit
SOUP_003,Beef Stew,Soups & Stews,no,0,0,no,no,not_in_yesterday_commit
SOUP_004,Clam Chowder (New England),Soups & Stews,no,0,0,no,no,not_in_yesterday_commit
SOUP_005,French Onion Soup,Soups & Stews,no,0,0,no,no,not_in_yesterday_commit
SOUP_006,Split Pea Soup,Soups & Stews,no,0,0,no,no,not_in_yesterday_commit
SOUP_007,Lentil Soup,Soups & Stews,no,0,0,no,no,not_in_yesterday_commit
SOUP_008,Beef Chili,Soups & Stews,no,0,0,no,no,not_in_yesterday_commit
SOUP_009,Chili + Cornbread,Soups & Stews,no,0,0,no,no,not_in_yesterday_commit
SOUP_010,Hot & Sour Soup,Soups & Stews,no,0,0,no,no,not_in_yesterday_commit
SOUP_011,Minestrone Soup,Soups & Stews,no,0,0,no,no,not_in_yesterday_commit
SALAD_001,Caesar Salad,Salads,yes,7,0,yes,no,metadata_plus_ingredients_available
SALAD_002,Chicken Caesar Salad,Salads,yes,8,0,yes,no,metadata_plus_ingredients_available
SALAD_003,Cobb Salad,Salads,yes,5,0,no,no,metadata_plus_ingredients_available
SALAD_004,Greek Salad,Salads,no,0,0,no,no,not_in_yesterday_commit
SALAD_005,Chef Salad,Salads,no,0,0,no,no,not_in_yesterday_commit
SIDE_001,French Fries,Sides,yes,5,0,yes,no,metadata_plus_ingredients_available
SIDE_002,Onion Rings,Sides,yes,7,0,yes,no,metadata_plus_ingredients_available
SIDE_003,Coleslaw,Sides,yes,7,0,yes,no,metadata_plus_ingredients_available
SIDE_004,Macaroni Salad,Sides,yes,5,0,yes,no,metadata_plus_ingredients_available
SIDE_005,Potato Salad,Sides,yes,6,0,yes,no,metadata_plus_ingredients_available
SIDE_006,Corn on the Cob,Sides,yes,5,0,yes,no,metadata_plus_ingredients_available
SIDE_007,Baked Beans,Sides,yes,5,0,yes,no,metadata_plus_ingredients_available
SIDE_008,Mac & Cheese,Sides,yes,7,0,yes,no,metadata_plus_ingredients_available
SIDE_009,Mashed Potatoes,Sides,yes,7,0,yes,no,metadata_plus_ingredients_available
SIDE_010,Steamed Broccoli,Sides,yes,7,0,yes,no,metadata_plus_ingredients_available
SIDE_011,Green Beans (cooked),Sides,yes,7,0,yes,no,metadata_plus_ingredients_available
SIDE_012,Cheese Sauce,Sauces & Condiments,yes,5,0,yes,no,metadata_plus_ingredients_available
SWEET_001,Pie Apple,Desserts,yes,3,0,yes,no,metadata_plus_ingredients_available
SWEET_002,Apple Strudel,Desserts,yes,7,0,yes,no,metadata_plus_ingredients_available
SWEET_003,Cake Angel Food,Desserts,yes,5,0,yes,no,metadata_plus_ingredients_available
SWEET_004,Cake Cheesecake,Desserts,yes,5,0,yes,no,metadata_plus_ingredients_available
SWEET_005,Cake Chocolate no Frosting,Desserts,yes,6,0,yes,no,metadata_plus_ingredients_available
SWEET_006,Cake Chocolate Frosting,Desserts,yes,7,0,yes,no,metadata_plus_ingredients_available
SWEET_007,Cake Coffee,Desserts,yes,5,0,yes,no,metadata_plus_ingredients_available
SWEET_008,Cake Gingerbread,Desserts,yes,7,0,yes,no,metadata_plus_ingredients_available
SWEET_009,Cake Pineapple,Desserts,yes,6,0,yes,no,metadata_plus_ingredients_available
SWEET_010,Cake Pound,Desserts,yes,5,0,yes,no,metadata_plus_ingredients_available
SWEET_011,Cake Shortcake,Desserts,yes,5,0,yes,no,metadata_plus_ingredients_available
SWEET_012,Cake Sponge,Desserts,yes,4,0,yes,no,metadata_plus_ingredients_available
SWEET_013,Cake White no Frosting,Desserts,yes,5,0,yes,no,metadata_plus_ingredients_available
SWEET_014,Cake White Coconut Frosting,Desserts,yes,6,0,yes,no,metadata_plus_ingredients_available
SWEET_015,Cake Yellow Choc Frosting,Desserts,yes,7,0,yes,no,metadata_plus_ingredients_available
SWEET_016,Cake Yellow Vanilla Frosting,Desserts,yes,6,0,yes,no,metadata_plus_ingredients_available
SWEET_017,Cookies Brownies,Desserts,yes,5,0,yes,no,metadata_plus_ingredients_available
SWEET_018,Cookies Butter,Desserts,yes,4,0,yes,no,metadata_plus_ingredients_available
SWEET_019,Cookies Choc Chip,Desserts,yes,5,0,yes,no,metadata_plus_ingredients_available
SWEET_020,Cookies Fig Bar,Desserts,yes,5,0,yes,no,metadata_plus_ingredients_available
SWEET_021,Cookies Gingersnap,Desserts,yes,6,0,yes,no,metadata_plus_ingredients_available
SWEET_022,Cookies Macaroon,Desserts,yes,4,0,yes,no,metadata_plus_ingredients_available
SWEET_023,Cookies Molasses,Desserts,yes,6,0,yes,no,metadata_plus_ingredients_available
SWEET_024,Cookies Oatmeal,Desserts,yes,6,0,yes,no,metadata_plus_ingredients_available
SWEET_025,Cookies Oatmeal Raisin,Desserts,yes,6,0,yes,no,metadata_plus_ingredients_available
SWEET_026,Cookies Peanut Butter,Desserts,yes,5,0,yes,no,metadata_plus_ingredients_available
SWEET_027,Cookies Shortbread,Desserts,yes,4,0,yes,no,metadata_plus_ingredients_available
SWEET_028,Cookies Sugar,Desserts,yes,5,0,yes,no,metadata_plus_ingredients_available
SWEET_029,Doughnut Cake-type Glazed,Desserts,yes,5,0,yes,no,metadata_plus_ingredients_available
SWEET_030,Pies Banana Cream,Desserts,yes,6,0,yes,no,metadata_plus_ingredients_available
SWEET_031,Pies Blueberry,Desserts,yes,5,0,yes,no,metadata_plus_ingredients_available
SWEET_032,Pies Boston Cream,Desserts,yes,4,0,yes,no,metadata_plus_ingredients_available
SWEET_033,Pies Cherry,Desserts,yes,3,0,yes,no,metadata_plus_ingredients_available
SWEET_034,Pies Chocolate,Desserts,yes,7,0,yes,no,metadata_plus_ingredients_available
SWEET_035,Pies Coconut,Desserts,yes,5,0,yes,no,metadata_plus_ingredients_available
SWEET_036,Pies Dutch Apple,Desserts,yes,7,0,yes,no,metadata_plus_ingredients_available
SWEET_037,Pies Lemon,Desserts,yes,6,0,yes,no,metadata_plus_ingredients_available
SWEET_038,Pies Mince,Desserts,yes,6,0,yes,no,metadata_plus_ingredients_available
SWEET_039,Pies Peach,Desserts,yes,4,0,yes,no,metadata_plus_ingredients_available
SWEET_040,Pies Pecan,Desserts,yes,6,0,yes,no,metadata_plus_ingredients_available
SWEET_041,Pies Pumpkin,Desserts,yes,7,0,yes,no,metadata_plus_ingredients_available
BEV_001,Milkshake Choc,Beverages,yes,4,0,yes,no,metadata_plus_ingredients_available
BEV_002,Milkshake Vanilla,Beverages,yes,3,0,yes,no,metadata_plus_ingredients_available
