ingredient_key,ndb_no,food_word,default_long_desc,default_display_name,common_unit,common_unit_grams,notes
beef_ground_80lean_raw,23572,BEEFGROUND80RAW,"Beef, ground, 80% lean meat / 20% fat, raw",ground beef (80% lean),oz,28.35,raw
beef_ribeye_raw,23263,BEEFRIBEYERAW,"Beef, ribeye petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, all grades, raw","Beef ribeye, raw",oz,28.35,
bell_pepper_green_raw,11333,BELLPEPPER,"Peppers, sweet, green, raw",green bell pepper,cup,149.0,
black_pepper_ground,2030,BLACKPEPPER,"Spices, pepper, black",ground black pepper,teaspoon,2.3,
blueberries_raw,9050,BLUEBERRIES,"Blueberries, raw",blueberries,cup,148.0,Fresh raw blueberries; 1 cup ~148g
bread_crumbs_dry,18079,BREADCRUMBSDRY,"Bread crumbs, dry, grated, plain",dry bread crumbs,cup,108.0,Plain dry breadcrumbs; 1/2 cup ~ 54g
bread_multigrain,28397,BREADMULTIGRAIN,"Bread, multi-grain (includes whole-grain)",multigrain bread,slice,28.0,
bread_multigrain_toasted,18036,TOASTMULTI,"Bread, multi-grain, toasted (includes whole-grain)",multigrain toast,slice,38.0,Large slice ~38g
bread_rye,18060,BREADRYE,"Bread, rye",rye bread,slice,32.0,
bread_white_commercial,18069,BREADWHITE,"Bread, white, commercially prepared (includes soft bread crumbs)",white bread,slice,28.0,
bread_whole_wheat_commercial,18075,BREADWHOLE,"Bread, whole-wheat, commercially prepared",whole wheat bread,slice,32.0,
breadcrumbs_plain_dry,18079,BREADCRUMBSDRY,"Bread crumbs, dry, grated, plain","Bread crumbs, dry plain",tbsp,7.5,
butter_salted,1001,BUTTERSALTED,"Butter, salted",salted butter,tablespoon,14.2,Salted butter; sodium adds ~130-150mg per tablespoon
butter_unsalted,1145,BUTTERUNSALTED,"Butter, without salt",unsalted butter,tablespoon,14.2,
cabbage_raw,11109,CABBAGE,"Cabbage, raw",green cabbage,cup shredded,89.0,
canadian_bacon_raw,10130,CANADIANBACONRAW,"Canadian bacon, unprepared",Canadian bacon,slice,28.5,Raw/unprepared Canadian bacon; NDB 10130
candied_fruit_mixed,9426,CANDIEDFRUIT,Candied fruit,mixed candied peel,cup,170.0,Mixed candied peel/citron; ~170g per cup
canola_oil,4582,OILCANOLA,"Oil, canola",canola oil,tablespoon,13.6,Neutral vegetable oil; common in 70/30 butter+oil pie crusts for tenderness
carrot_raw,11124,CARROT,"Carrots, raw","Carrot, raw",medium,61.0,
celery_raw,11143,CELERY,"Celery, raw",celery stalk,stalk,40.0,
cheese_american,1253,AMERICANFAT,"Cheese, pasteurized process, American, without added vitamin D",American cheese,oz,28.35,
cheese_cheddar,1009,CHEDDAR,"Cheese, cheddar",Cheddar cheese,oz,28.35,
cheese_cheddar_sharp_sliced,1270,CHEDDARSHARPCHEESE,"Cheese, cheddar, sharp, sliced",sharp cheddar cheese,slice,21,
cheese_gruyere,1023,GRUYERE,"Cheese, gruyere",Gruyere cheese,oz,28.35,
cheese_mexican_blend,1251,MEXICANBLEND,"Cheese, Mexican blend",Mexican blend cheese,cup,113.0,shredded
cheese_mozzarella_wholemilk,1026,MOZZARELLA,"Cheese, mozzarella, whole milk","Mozzarella, whole milk",oz,28.35,
cheese_parmesan_hard,1033,PARMESAN,"Cheese, parmesan, hard",Parmesan cheese,oz,28.35,Hard block; freshly grated
cheese_provolone,1035,PROVOLONE,"Cheese, provolone",provolone cheese,slice,28.0,
cheese_swiss,1040,SWISSCHEESE,"Cheese, swiss",Swiss cheese,oz,28.35,
cherries_maraschino_drained,9328,MARASCHINO,"Maraschino cherries, canned, drained",maraschino cherries,cherry,5.0,1 cherry ~5g
cherries_sour_red_raw,9063,CHERRYSOUR,"Cherries, sour, red, raw",sour cherries (pitted),cup,155.0,Pitted sour/tart red cherries; 1 cup pitted ~155g
chicken_breast_cooked_roasted,5064,CHICKENBREAST,"Chicken, broilers or fryers, breast, meat only, cooked, roasted",cooked chicken breast,oz,28.35,
chicken_breast_raw,5062,CHICKENBREASTRAW,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",chicken breast raw,oz,28.35,
chickpeas_cooked,16057,CHICKPEA,"Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt","chickpeas, cooked",cup,164.0,"Canned or home-cooked chickpeas, drained; ~164g per cup"
chickpeas_raw_dried,16056,CHICKPEADRIED,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw","chickpeas, dried (soaked overnight)",cup,200.0,Raw dried; weigh before soaking. Soaking adds water that cooks off during frying.
chives_raw,11156,CHIVE,"Chives, raw",fresh chives,tablespoon,3.0,1 tablespoon chopped ~3g
chocolate_chips_semisweet,19080,CANDCHOCSEMI,"Candies, semisweet chocolate",chocolate chips semi-sweet,cup,170,Semisweet chocolate chips; 1 cup ~170g
chocolate_sandwich_cookies,18166,COOKIESCHOCOLATESANDWICH,"Cookies, chocolate sandwich, with creme filling, regular",chocolate sandwich cookies,cookie,11.0,
chocolate_semisweet,19080,CANDCHOCSEMI,"Candies, semisweet chocolate",semisweet chocolate,ounce,28.35,
cilantro_raw,11165,CORIANDER,"Coriander (cilantro) leaves, raw",fresh cilantro,cup,16.0,1 cup loose-packed ~16g
cinnamon_ground,2010,CINNAMON,"Spices, cinnamon, ground",ground cinnamon,teaspoon,2.6,
cloves_ground,2011,CLOVE,"Spices, cloves, ground",ground cloves,teaspoon,2.1,
cocoa_powder_unsweetened,19165,COCOAPOWDERUNSWEET,"Cocoa, dry powder, unsweetened",unsweetened cocoa powder,tablespoon,5.0,
coconut_cream_canned_sweetened,12116,COCONUTCREAMSWEET,"Nuts, coconut cream, canned, sweetened","coconut cream (canned, sweetened)",tablespoon,15,USDA SR Legacy 12116
coconut_extract,2050,VANILLA,Vanilla extract,coconut extract,teaspoon,4.2,Coconut-flavored extract; nutritionally equivalent to vanilla extract (NDB 2050 proxy)
coconut_flaked_sweetened,12109,COCONUTFLAKEDSWEET,"Nuts, coconut meat, dried, sweetened, flaked",sweetened flaked coconut,cup,74.0,
coconut_milk_canned,12118,COCONUTMILKCANNED,"Nuts, coconut milk, canned",canned coconut milk,cup,226.0,
coconut_shredded_sweetened,12179,COCONUTSHREDDEDSWEET12179,"Nuts, coconut meat, dried (desiccated), sweetened, shredded",sweetened shredded coconut,cup,74.0,USDA shredded sweetened coconut; preferred for macaroons
coconut_water,12119,COCONUTWATER,"Nuts, coconut water",coconut water,cup,240.0,Fresh coconut water; ~19 kcal/cup; NDB 12119
cod_atlantic_raw,15015,CODRAW,"Fish, cod, Atlantic, raw",cod fillet,oz,28.35,
coriander_seed,2013,CORIANDERSEED,"Spices, coriander seed",ground coriander,teaspoon,1.8,Ground coriander spice
corn_syrup_light,19350,SYRUPCORNLIGHT,"Syrups, corn, light",light corn syrup,cup,328.0,
corned_beef_brisket_cooked,13347,BEEFCORNED,"Beef, cured, corned beef, brisket, cooked",corned beef,oz,28.35,
cornmeal_enriched_yellow,20022,CORNMEAL,"Cornmeal, degermed, enriched, yellow","Cornmeal, enriched, yellow",tbsp,8.6,
cornmeal_yellow_whole_grain,20020,CORNMEAL,"Cornmeal, whole-grain, yellow",cornmeal,cup,122.0,
cornstarch,20027,CORNSTARCH,Cornstarch,cornstarch,tablespoon,8.0,Pure starch thickener; gluten-free alternative to flour for pie filling thickening
crab_blue_cooked,15140,CRAB,"Crustaceans, crab, blue, cooked, moist heat",crab meat,oz,28.35,
cranberries_dried_sweetened,9079,CRANBERRYDRIED,"Cranberries, dried, sweetened",dried cranberries,cup,120.0,Sweetened dried cranberries; ~120g per cup
cream_cheese,1017,CREAMCHEESE,"Cheese, cream",cream cheese,package_8oz,227.0,Full-fat cream cheese; 1 oz brick = 28g; 8 oz package = 227g
cream_of_tartar,18373,CREAMOFTARTAR,"Leavening agents, cream of tartar",cream of tartar,teaspoon,3.0,Cream of tartar; 1 tsp ~3g
croissant,18239,CROISSANT,"Croissants, butter",croissant,piece,67,
cucumber_peeled_raw,11206,CUCUMBER,"Cucumber, peeled, raw",cucumber peeled,cup_sliced,119.0,
cucumber_raw,11205,CUCUMBERPEEL,"Cucumber, with peel, raw","Cucumber, raw",cup sliced,119.0,
cumin_ground,2014,CUMIN,"Spices, cumin seed",ground cumin,teaspoon,2.0,Ground cumin spice
currants_zante_dried,9085,CURRANTSDRIED,"Currants, zante, dried",currants,cup,145.0,Dried Zante currants; ~145g per cup
daikon_radish_raw,11430,DAIKONRADISH,"Radishes, oriental, raw","Daikon radish, raw",oz,28.35,
dates_medjool,9421,DATESMEDJOOL,"Dates, medjool",medjool dates,cup,150.0,"Pitted medjool dates, chopped; ~150g per cup"
dill_fresh,2045,DILL,"Dill weed, fresh",fresh dill,sprigs,1.0,
egg_cooked_hardboiled,1129,EGGBOILED,"Egg, whole, cooked, hard-boiled",hard-boiled egg,large_egg,50.0,
egg_cooked_poached,1131,EGGPOACHED,"Egg, whole, cooked, poached",egg poached,large_egg,50.0,Poached egg; NDB 1131
egg_fried,1128,EGGFRIED,"Egg, whole, cooked, fried",fried egg,large_egg,50.0,
egg_white_raw,1124,EGGWHITE,"Egg, white, raw, fresh",egg whites,large_white,33.0,Large egg white ~33g
egg_whole_raw,1123,EGGRAW,"Egg, whole, raw, fresh",large egg,large_egg,50.0,Large egg ~50g without shell
egg_yolk_raw,1125,YOLK,"Egg, yolk, raw, fresh",egg yolks,large_yolk,17.0,Large egg yolk ~17g
figs_dried_uncooked,9094,FIG,"Figs, dried, uncooked",dried figs,cup,150,Dried figs uncooked; 1 cup ~150g
flour_ap_white_enriched_unbleached,20581,FLOURAPENRICHED,"Wheat flour, white, all-purpose, enriched, unbleached",all-purpose enriched unbleached white flour,cup,125.0,
flour_cake_white_enriched,20084,FLOURCAKE,"Wheat flour, white, cake, enriched",cake flour,cup,125.0,Home-cook accessible enriched flour; lower protein than AP for tender crust
flour_pastry_white_enriched_bleached,20623,FLOURPASTRY,"Wheat flour, white (industrial), 9% protein, bleached, enriched",pastry flour (9% protein),cup,125.0,Lower-protein enriched flour for pie crust; same enrichment as AP
flour_whole_wheat,20080,WHEATWHOLE,"Wheat flour, whole-grain",whole wheat flour,cup,120.0,Whole wheat flour; ~120g per cup
focaccia_bread,18973,FOCACCIA,"Focaccia, Italian flatbread, plain",focaccia,piece,120,
french_bread,18029,FRENCHBREAD,"Bread, french or vienna (includes sourdough)",French bread,oz,28.35,
french_roll,18349,ROLLFRENCH,"Rolls, french",French roll,roll,38.0,
garlic_powder,2020,GARLICPOWDER,"Spices, garlic powder",garlic powder,teaspoon,3.1,
ginger_ground,2021,GINGERGROUND,"Spices, ginger, ground",ground ginger,teaspoon,1.8,Ground ginger; ~1.8g per tsp
ginger_root_fresh,11216,GINGER,"Ginger root, raw",fresh ginger,tablespoon,6.0,Grated/pureed fresh gingerroot; 1 Tbsp ~6g
graham_crackers,18173,GRAHAM,"Cookies, graham crackers, plain or honey",graham crackers,cracker,14.0,
ground_pork_raw,10219,GROUNDPORK,"Pork, fresh, ground, raw",raw ground pork,oz,28.35,
half_and_half,1049,HALFANDHALF,"Cream, fluid, half and half",half-and-half,cup,242.0,Half cream half whole milk ~12% milkfat
ham_diced_cooked,10136,HAM,"Pork, cured, ham, boneless, regular (approximately 11% fat), roasted",diced ham,oz,28.0,Cooked cured ham; NDB is already a roasted/cooked value
ham_sliced_regular,7029,PORKHAMSLICED,"Ham, sliced, regular (approximately 11% fat)",sliced ham,oz,28.35,
hamburger_bun,18350,ROLLHOTDOG,"Rolls, hamburger or hotdog, plain",hamburger bun,bun,43.0,
heavy_cream,1053,CREAM,"Cream, fluid, heavy whipping",heavy cream,cup,238.0,Heavy whipping cream ~36% milkfat
hoagie_roll,18353,HOAGIEROLL,"Rolls, hard (includes kaiser)",Hoagie roll,oz,28.35,
hot_sauce,6169,HOTSAUCE,"Sauce, ready-to-serve, pepper, TABASCO",hot sauce,tablespoon,15.0,
hot_sauce_tabasco,6169,HOTSAUCE,"Sauce, ready-to-serve, pepper, TABASCO",Hot sauce (Tabasco),tsp,4.7,
jalapeno_raw,11979,JALAPENO,"Peppers, jalapeno, raw","Jalapeño, raw",pepper,14.0,
jam_preserves,19297,JAM,Jams and preserves,jelly or jam,tablespoon,20.0,
ketchup,11935,KETCHUP,Catsup,ketchup,tablespoon,17.0,
lamb_ground_raw,17224,LAMBGROUND,"Lamb, ground, raw",ground lamb,oz,28.35,Raw ground lamb; use raw weight
lemon_juice_raw,9152,LEMONJUICE,"Lemon juice, raw",lemon juice,tablespoon,15.0,
lemon_peel_raw,9156,LEMONPEEL,"Lemon peel, raw",lemon zest,tablespoon,6.0,Fresh lemon zest; 1 Tbsp grated ~6g
lettuce_iceberg_raw,11252,LETTUCE,"Lettuce, iceberg (includes crisphead types), raw",iceberg lettuce,cup,72.0,
limburger_cheese,1024,LIMBURGERCHEESE,"Cheese, limburger",limburger cheese,oz,28.35,
lime_juice_raw,9160,LIMEJUICE,"Lime juice, raw","Lime juice, raw",tbsp,15.0,
liverwurst_pork,7041,LIVERWURSTPORK,"Liver sausage, liverwurst, pork",liverwurst,oz,28.35,
lobster_northern_cooked,15148,LOBSTER,"Crustaceans, lobster, northern, cooked, moist heat",lobster meat,oz,28.35,
margarine_stick_salted,4610,MARGARINESTICKSALTED,"Margarine, regular, 80% fat, composite, stick, with salt",margarine stick salted,tablespoon,14.2,Regular 80% fat stick margarine with salt; 1 tbsp ~14.2g
marinara_sauce,6931,MARINARASAUCE,"Sauce, pasta, spaghetti/marinara, ready-to-serve",Marinara sauce,tbsp,15.0,
mayonnaise,4025,MAYOREGULAR,"Salad dressing, mayonnaise, regular",mayonnaise,tablespoon,13.8,
milk_buttermilk_whole,1230,BUTTERMILK,"Milk, buttermilk, fluid, whole",whole buttermilk,cup,245.0,
milk_evaporated,1096,EVAPORATEDMILK,"Milk, canned, evaporated, with added vitamin D",evaporated milk,cup,252.0,
milk_lowfat_2pct,1079,MILK2PCT,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",2% milk,cup,244.0,
milk_whole,1077,MILK,"Milk, whole, 3.25% milkfat, with added vitamin D",whole milk,cup,244.0,Whole milk 3.25% milkfat
mint_fresh,2065,SPEARMINT,"Spearmint, fresh",fresh mint,teaspoon,0.7,Spearmint fresh; standard culinary fresh mint
molasses,19304,MOLASSES,Molasses,molasses,cup,337.0,1 cup ~337g; 1 Tbsp ~20g
mustard_yellow,2046,MUSTARD,"Mustard, prepared, yellow",yellow mustard,teaspoon,5.0,
nutmeg_ground,2025,NUTMEG,"Spices, nutmeg, ground",ground nutmeg,teaspoon,2.2,Ground nutmeg; ~2.2g per tsp
oats_rolled_old_fashioned_dry,8120,CEREALOATSDRY8120,"Cereals, oats, regular and quick, not fortified, dry",rolled oats (regular/quick oats),cup,100.0,Dry rolled oats (not instant); 1 cup ~ 100g
olive_oil,4053,OILOLIVE,"Oil, olive, salad or cooking",olive oil,tablespoon,13.6,
onion_powder,2026,ONIONPOWDER,"Spices, onion powder",onion powder,teaspoon,2.4,
onion_raw,11282,ONION,"Onions, raw",onion,cup,160.0,
oregano_dried,2027,OREGANO,"Spices, oregano, dried",dried oregano,teaspoon,1.0,
oregano_dried_ground,2027,OREGANO,"Spices, oregano, dried",dried oregano,teaspoon,1.8,
oyster_eastern_raw,15167,OYSTER,"Mollusks, oyster, eastern, wild, raw","Oyster, eastern, wild, raw",oz,85.05,
paprika,2028,PAPRIKA,"Spices, paprika",paprika,teaspoon,2.3,
paprika_ground,2028,PAPRIKA,"Spices, paprika",paprika,teaspoon,2.3,
parsley_fresh,11297,PARSLEY,"Parsley, fresh",fresh parsley,cup,60.0,1 cup loose-packed ~60g
pastrami_beef,13355,PASTRAMI,"Beef, cured, pastrami",pastrami,oz,28.35,
peach_yellow_raw,9236,PEACH,"Peaches, yellow, raw",peaches,cup,154.0,Fresh peeled peach slices; ~154g per cup sliced
peanut_butter_chunky,16097,PEANUTBUTTERCHUNK,"Peanut butter, chunk style, with salt",chunky peanut butter,cup,258.0,"Chunk style, with salt (USDA 16097)"
peanut_butter_smooth,16098,PEANUTBUTTER,"Peanut butter, smooth style, with salt",smooth peanut butter,cup,264.0,"Smooth style, with salt (USDA 16098)"
pecans_raw,12142,PECAN,"Nuts, pecans",pecan halves,cup,99.0,
pickle_dill,11937,PICKLE,"Pickles, cucumber, dill or kosher dill",dill pickle,spear,35.0,
pickle_relish_sweet,11945,PICKLERELISH,"Pickle relish, sweet","Pickle relish, sweet",tbsp,15.0,
pie_filling_apple_canned,19312,PIEFILLINGAPPLE,"Pie fillings, apple, canned","apple pie filling, canned",can_21oz,595.0,
pimentos_canned,11943,PIMIENTO,"Pimento, canned",canned pimentos,tablespoon,14.0,
pineapple_canned_juice_pack_drained,9354,PINEAPPLECANNED,"Pineapple, canned, juice pack, drained",pineapple slices,slice,40.0,7 slices ~280g; 20oz can drained ~340g
pineapple_juice_canned,9273,PINEAPPLEJUICE,"Pineapple juice, canned, unsweetened",pineapple juice (reserved),tablespoon,15.0,Reserved juice from canned pineapple; 1 tbsp = ~15g
pita_white,18413,PITA,"Bread, pita, white, enriched","pita bread, white",pita,60.0,1 standard pita ~60g
pork_backfat_raw,10004,PORKBACKFAT,"Pork, fresh, backfat, raw",pork backfat (finely chopped),tbsp,14.0,Raw pork fatback used to enrich lean ground pork in homemade sausage recipes
pork_boston_butt_raw,10080,PORKBOSTONBUTT,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, raw",pork shoulder,oz,28.35,
pork_ground_raw,10219,GROUNDPORK,"Pork, fresh, ground, raw",Ground pork (raw),oz,28.35,
pork_tenderloin_raw,10060,PORKTENDERLOIN,"Pork, fresh, loin, tenderloin, separable lean only, raw","Pork tenderloin, raw",oz,28.35,
potato_boiled_no_skin,11367,POTATOESBOILED,"Potatoes, boiled, cooked without skin, flesh, without salt",boiled potato (flesh),medium_potato,150.0,Pre-boiled potato flesh; grate or shred before pan-frying
potato_raw,11352,POTATOESRAW,"Potatoes, flesh and skin, raw",raw potato (diced),medium_potato,150.0,
powdered_sugar,19336,SUGARPOWDERED,"Sugars, powdered",powdered sugar,tsp,4.0,
prosciutto,10141,PROSCIUTTO,"Pork, cured, ham, center slice, country-style, separable lean only, raw",Prosciutto,oz,28.35,FNDDS proxy for prosciutto; SR Legacy has no direct entry
provolone_cheese,1035,PROVOLONE,"Cheese, provolone",provolone cheese,oz,28.35,
puff_pastry_baked,18211,PUFFPASTRY,"Puff pastry, frozen, ready-to-bake, baked",puff pastry sheet,sheet,245.0,Pre-baked nutrition values from USDA; 17.25 oz package typically contains 2 sheets ~245g each
pumpkin_canned,11424,PUMPKIN,"Pumpkin, canned, without salt",canned pumpkin puree,cup,245.0,
pumpkin_pie_spice,2035,PUMPKINPIESPICE,"Spices, pumpkin pie spice",pumpkin pie spice,teaspoon,1.7,
raisins_golden,9297,RAISIN,"Raisins, golden seedless",golden raisins,cup,145.0,Golden raisins; ~145g per cup
raisins_seedless,9298,RAISINSSEEDLESS,"Raisins, seedless",raisins,cup,165.0,Seedless raisins; 1/2 cup ~ 80g
ranch_dressing,4639,RANCHDRESSING,"Salad dressing, ranch dressing, regular",ranch dressing,tablespoon,15.0,
red_pepper_flakes,2031,CAYENNE,"Spices, pepper, red or cayenne",red pepper flakes,teaspoon,2.3,SR Legacy sub for flaked red pepper
roast_beef_deli,7043,BEEFROASTBEEF,"Roast beef, deli style, prepackaged, sliced",deli roast beef,oz,28.35,
sage_ground,2038,SAGE,"Spices, sage, ground",ground sage,teaspoon,0.7,
salami_italian_dry,7926,SALAMIITALIAN,"Salami, Italian, pork","Salami, Italian dry",slice,10.0,
salt_table,2047,SALT,"Salt, table",salt,teaspoon,6.0,
sauerkraut_canned,11439,SAUERKRAUT,"Sauerkraut, canned, solids and liquids",sauerkraut,cup,140.0,
scallion_raw,11291,SCALLION,"Onions, spring or scallions (includes tops and bulb), raw",scallion (green onion),each,15.0,Medium scallion ~15g
sesame_oil,4058,OILSESAME,"Oil, sesame, salad or cooking",Sesame oil,tsp,4.5,
shrimp_raw,15270,SHRIMP,"Crustaceans, shrimp, raw (not previously frozen)","Shrimp, raw",oz,85.05,
smoked_salmon,15077,SMOKEDSALMON,"Fish, salmon, chinook, smoked",smoked salmon,oz,28.35,NDB is already a smoked/cured value
sour_cream,1056,SOURCREAM,"Cream, sour, cultured",sour cream,cup,230.0,Cultured sour cream; 1 cup = 230g; 1 Tbsp = 12g
spinach_cooked,11458,SPINACH,"Spinach, cooked, boiled, drained, without salt",cooked spinach,cup,180.0,
sugar_brown,19334,SUGARBROWN,"Sugars, brown",brown sugar,cup,220.0,"Packed brown sugar; 1/4 cup ~ 55g loose, ~36g unpacked"
sugar_granulated,19335,SUGAR,"Sugars, granulated",sugar,teaspoon,4.0,
sugar_powdered,19336,SUGARPOWDERED,"Sugars, powdered",powdered sugar,cup,120.0,Confectioners sugar; 1 cup ~120g sifted
tahini,12166,TAHINI,"Seeds, sesame butter, tahini, from roasted and toasted kernels (most common type)",tahini,tablespoon,15.0,From roasted sesame kernels (most common type)
tamari,16124,TAMARI,Soy sauce made from soy (tamari),tamari,tablespoon,18.0,
tartar_sauce,27049,TARTARSAUCE,"Sauce, tartar, ready-to-serve",tartar sauce,tablespoon,14.0,
thousand_island_dressing,4017,DRESSINGTHOUSAND,"Salad dressing, thousand island, commercial, regular",thousand island dressing,tablespoon,15.6,
thyme_fresh,2049,THYME,"Thyme, fresh",fresh thyme leaves,teaspoon,0.8,1 tsp leaves ~0.8g
tomato_paste,11546,TOMATOPASTE,"Tomato products, canned, paste, without salt added",tomato paste,tablespoon,16.0,
tomato_red_raw,11529,TOMATO,"Tomatoes, red, ripe, raw, year round average",tomato raw,each,17.0,red ripe raw tomato; 1 cherry tomato ~17g
tortilla_flour_refrigerated,18364,TORTILLAFLOUR,"Tortillas, ready-to-bake or -fry, flour, refrigerated",flour tortilla,each,45.0,
tuna_canned_light_water,15121,TUNALIGHT,"Fish, tuna, light, canned in water, drained solids",canned light tuna,oz,28.35,
turkey_breast_deli,7081,TURKEYSLICED,"Turkey breast, sliced, prepackaged",deli turkey breast,slice,16.0,
vanilla_extract,2050,VANILLA,Vanilla extract,vanilla extract,teaspoon,4.2,Pure vanilla extract; 1 tsp ~4.2g
vegetable_shortening,4031,SHORTENING,"Shortening, household, soybean (partially hydrogenated)-cottonseed (partially hydrogenated)",vegetable shortening,tablespoon,12.8,Crisco-equivalent solid vegetable shortening; pure fat 0% water for flakier pie crust
vinegar_red_wine,2068,VINEGARREDWINE,"Vinegar, red wine",Red wine vinegar,tbsp,15.0,
water,14411,WATER,"Water, tap, drinking",water,cup,237.0,Tap water; nutritionally inert (0 kcal)
water_tap,14411,WATER,"Water, tap, drinking",ice water,tablespoon,15.0,
worcestershire_sauce,6971,WORCESTERSHIRE,"Sauce, worcestershire",Worcestershire sauce,teaspoon,5.0,
yeast_active_dry,18375,YEAST,"Leavening agents, yeast, baker's, active dry",active dry yeast,teaspoon,3.0,Active dry yeast; 1 tsp ≈ 3g (1 packet = 7g = 2¼ tsp)
yogurt_greek_whole_milk,1293,GREEKYOGURT,"Yogurt, Greek, plain, whole milk",Greek whole milk yogurt,tablespoon,15.0,
garlic_raw,11215,GARLIC,"Garlic, raw",garlic,clove,3.0,1 medium clove ~3g
mushroom_crimini_raw,11266,CRIMINI,"Mushrooms, brown, italian, or crimini, raw",crimini mushrooms,oz,28.35,
onion_rings_fried,21130,ONIONRINGS,"Fast foods, onion rings, breaded and fried",onion rings,piece,10.0,~10g per ring
ground_turkey_raw,5665,TURKEYBURGER,"Ground turkey, 93% lean, 7% fat, raw",ground turkey,oz,28.35,
poultry_seasoning,2034,POULTRYSEASONING,"Spices, poultry seasoning",poultry seasoning,tsp,1.5,
frankfurter_beef,7022,FRANKFURTERRAW,"Frankfurter, beef, unheated",Beef frankfurter,frankfurter,48.0,
celery_seed,2007,CELERYSEED,"Spices, celery seed",Celery seed,tsp,2.0,
peppers_hot_pickled,31034,SPORTPEPPERS,"Peppers, hot pickled, canned",Pickled hot peppers,pepper,6.0,
beef_chili_no_beans,22911,CHILI,"Chili, no beans, canned entree","Beef chili, no beans",cup,240.0,
